,DEPARTAMENTO,MUNICIPIO,Total_100 y más,Total Hombres,Total Mujeres,Total,Total_0_4,Total_5_14,Total_15_44,Total_45_64,Total_65_84,Total_85_99
107,Antioquia,Medellín,1631,1193791,1339633,2533424,148533,311575,1224276,581270,240903,25236
260,Antioquia,Abejorral,15,10558,9729,20287,1291,3046,8299,4993,2417,226
413,Antioquia,Abriaquí,0,1482,1253,2735,213,427,1156,608,302,29
566,Antioquia,Alejandría,0,2338,2360,4698,420,737,1889,1062,525,65
719,Antioquia,Amagá,9,15382,15901,31283,2024,4280,14150,7653,2868,299
872,Antioquia,Amalfi,9,13573,13498,27071,2181,4887,12308,5389,2069,228
1025,Antioquia,Andes,27,22904,21295,44199,3157,6527,19693,10114,4285,396
1178,Antioquia,Angelópolis,2,2936,2905,5841,402,857,2492,1404,617,67
1331,Antioquia,Angostura,2,5830,5706,11536,972,2052,5123,2317,970,100
1484,Antioquia,Anorí,4,9992,9112,19104,1964,3835,8953,3124,1104,120
1637,Antioquia,Santafé de Antioquia,24,13404,13598,27002,1956,4242,12461,5634,2365,320
1790,Antioquia,Anzá,2,3699,3470,7169,626,1292,3159,1422,578,90
1943,Antioquia,Apartadó,32,62470,65274,127744,11572,23845,64210,21969,5642,474
2096,Antioquia,Arboletes,8,15278,15232,30510,3262,6478,12705,5582,2238,237
2249,Antioquia,Argelia,1,3886,3659,7545,665,1407,3154,1504,747,67
2402,Antioquia,Armenia,0,2528,2546,5074,324,670,1774,1446,781,79
2555,Antioquia,Barbosa,21,26997,27350,54347,3314,7222,24653,13210,5416,511
2708,Antioquia,Belmira,2,3087,3029,6116,491,1132,2747,1249,441,54
2861,Antioquia,Bello,199,266213,285941,552154,35416,72435,279293,119773,41298,3740
3014,Antioquia,Betania,4,5340,4944,10284,789,1796,4350,2301,943,101
3167,Antioquia,Betulia,5,8126,7770,15896,1379,2923,6959,3295,1223,112
3320,Antioquia,Ciudad Bolívar,205,13152,13161,26313,1849,4103,11011,6197,2618,330
3473,Antioquia,Briceño,2,4244,3876,8120,839,1662,3623,1436,504,54
3626,Antioquia,Buriticá,2,5015,4619,9634,927,1791,4310,1707,790,107
3779,Antioquia,Cáceres,6,15809,14547,30356,3780,6980,12808,4819,1765,198
3932,Antioquia,Caicedo,2,4274,4262,8536,810,1585,3861,1566,654,58
4085,Antioquia,Caldas,77,39870,43553,83423,4475,9605,39124,21304,8105,733
4238,Antioquia,Campamento,2,4772,4471,9243,813,1877,3997,1731,740,83
4391,Antioquia,Cañasgordas,14,7839,7713,15552,1241,2651,6433,3336,1660,217
4544,Antioquia,Caracolí,0,2286,2246,4532,346,644,1712,1158,604,68
4697,Antioquia,Caramanta,0,2319,2329,4648,277,637,1846,1246,593,49
4850,Antioquia,Carepa,16,25450,25693,51143,4967,10386,25722,7796,2078,178
5003,Antioquia,El Carmen de Viboral,12,30904,31677,62581,5045,9570,30111,12735,4730,378
5156,Antioquia,Carolina,0,1959,2013,3972,178,459,1585,1157,528,65
5309,Antioquia,Caucasia,27,46361,49066,95427,9569,18848,44054,16824,5558,547
5462,Antioquia,Chigorodó,8,28868,30968,59836,5789,12235,28921,9606,2994,283
5615,Antioquia,Cisneros,4,4736,5200,9936,644,1414,4085,2452,1205,132
5768,Antioquia,Cocorná,2,7293,7540,14833,1334,2464,5900,3283,1661,189
5921,Antioquia,Concepción,0,2458,2300,4758,337,703,1841,1208,595,74
6074,Antioquia,Concordia,4,10839,10849,21688,1486,3480,9159,5064,2283,212
6227,Antioquia,Copacabana,27,39715,42105,81820,4396,9660,38446,20912,7611,768
6380,Antioquia,Dabeiba,8,11912,11597,23509,3125,5340,9708,3577,1549,202
6533,Antioquia,Donmatías,20,9203,10506,19709,1482,3123,9070,4250,1586,178
6686,Antioquia,Ebéjico,2,6171,5963,12134,702,1649,4357,3451,1776,197
6839,Antioquia,El Bagre,10,26679,27167,53846,6280,12157,23931,8551,2668,249
6992,Antioquia,Entrerríos,4,5857,5871,11728,958,1934,5517,2442,796,77
7145,Antioquia,Envigado,171,111502,130695,242197,10759,22875,106997,68750,29544,3101
7298,Antioquia,Fredonia,6,12442,12312,24754,1375,3265,9720,6835,3210,343
7451,Antioquia,Frontino,6,10353,10347,20700,2406,4170,8388,3860,1687,183
7604,Antioquia,Giraldo,2,2943,2807,5750,531,1046,2516,1065,518,72
7757,Antioquia,Girardota,21,26687,27752,54439,3316,6955,25394,13372,4843,538
7910,Antioquia,Gómez Plata,5,4944,4977,9921,616,1451,3930,2544,1214,161
8063,Antioquia,Granada,4,4863,4901,9764,985,1770,3835,2063,990,117
8216,Antioquia,Guadalupe,2,3392,3273,6665,503,1108,2973,1422,598,59
8369,Antioquia,Guarne,16,28847,29312,58159,3878,7434,26508,13628,6094,601
8522,Antioquia,Guatapé,6,4258,4451,8709,597,1185,3805,2075,947,94
8675,Antioquia,Heliconia,0,2815,2580,5395,297,709,2102,1515,686,86
8828,Antioquia,Hispania,2,2788,2803,5591,410,826,2360,1265,667,61
8981,Antioquia,Itagüí,156,138138,151856,289994,16207,33056,140574,70429,26960,2612
9134,Antioquia,Ituango,6,16991,10798,27789,2053,4430,13817,5582,1738,163
9287,Antioquia,Jardín,9,7381,7449,14830,974,2092,6080,3650,1842,183
9440,Antioquia,Jericó,4,6806,6900,13706,794,1788,5417,3620,1873,210
9593,Antioquia,La Ceja,12,33093,35232,68325,4139,9036,32115,16058,6431,534
9746,Antioquia,La Estrella,17,36583,38934,75517,4283,8921,36736,18113,6743,704
9899,Antioquia,La Pintada,2,4260,4200,8460,563,1295,4183,1762,600,55
10052,Antioquia,La Unión,6,11053,11338,22391,1605,3445,10382,4963,1812,178
10205,Antioquia,Liborina,2,5189,4901,10090,740,1643,4035,2354,1125,191
10358,Antioquia,Maceo,2,4103,4145,8248,752,1441,3292,1819,836,106
10511,Antioquia,Marinilla,9,33383,34510,67893,5211,10178,32293,14385,5335,482
10664,Antioquia,Montebello,2,3371,3270,6641,427,959,2506,1734,928,85
10817,Antioquia,Murindó,1,2649,2585,5234,964,1465,2060,559,159,26
10970,Antioquia,Mutatá,4,7286,7103,14389,1862,3323,6264,2163,692,81
11123,Antioquia,Nariño,2,5083,4864,9947,791,1799,3916,2229,1092,118
11276,Antioquia,Necoclí,6,21777,22341,44118,5168,10205,19191,6717,2530,301
11429,Antioquia,Nechí,9,14098,13256,27354,3340,6250,11649,4347,1592,167
11582,Antioquia,Olaya,0,1602,1573,3175,248,512,1213,759,392,51
11735,Antioquia,Peñol,7,10637,11132,21769,1652,3199,9161,5171,2314,265
11888,Antioquia,Peque,2,4374,3911,8285,866,1621,3572,1417,713,94
12041,Antioquia,Pueblorrico,4,4362,4373,8735,636,1423,3477,2097,992,106
12194,Antioquia,Puerto Berrío,6,20385,20328,40713,3090,6491,19024,8576,3228,298
12347,Antioquia,Puerto Nare,5,7213,7227,14440,1156,2404,5951,3430,1361,133
12500,Antioquia,Puerto Triunfo,4,10402,8568,18970,1675,3102,9713,3294,1088,94
12653,Antioquia,Remedios,9,14811,14818,29629,3140,5909,13697,5140,1556,178
12806,Antioquia,Retiro,7,12098,12659,24757,1520,3086,10762,6415,2753,214
12959,Antioquia,Rionegro,62,70107,72888,142995,8445,17637,68522,33494,13657,1178
13112,Antioquia,Sabanalarga,2,4857,4421,9278,1001,1766,4040,1637,741,91
13265,Antioquia,Sabaneta,33,40948,47033,87981,5024,8755,43684,21666,8166,653
13418,Antioquia,Salgar,5,9169,9092,18261,1399,2926,7798,4209,1770,154
13571,Antioquia,San Andrés de Cuerquía,2,3735,3546,7281,734,1400,3116,1406,558,65
13724,Antioquia,San Carlos,4,8053,7758,15811,1283,2665,6487,3553,1623,196
13877,Antioquia,San Francisco,0,2942,2947,5889,604,1158,2341,1088,635,63
14030,Antioquia,San Jerónimo,4,7885,8132,16017,1138,2418,7136,3702,1447,172
14183,Antioquia,San José de La Montaña,0,1841,1924,3765,327,702,1736,735,247,18
14336,Antioquia,San Juan de Urabá,5,10320,10630,20950,2533,4883,8959,3224,1205,141
14489,Antioquia,San Luis,4,6454,6669,13123,1343,2513,5655,2414,1068,126
14642,Antioquia,San Pedro de Los Milagros,9,11038,11847,22885,1718,3595,10750,4992,1671,150
14795,Antioquia,San Pedro de Urabá,10,16464,15683,32147,3214,6753,14236,5527,2152,255
14948,Antioquia,San Rafael,4,7834,7829,15663,1198,2417,6601,3528,1699,216
15101,Antioquia,San Roque,6,10923,10674,21597,1726,3617,9211,4655,2165,217
15254,Antioquia,San Vicente,6,11671,10798,22469,1663,3402,9841,5129,2216,212
15407,Antioquia,Santa Bárbara,13,13487,13699,27186,1511,3673,10842,7089,3673,385
15560,Antioquia,Santa Rosa de Osos,11,18826,19043,37869,3109,6377,17975,7538,2634,225
15713,Antioquia,Santo Domingo,9,6382,5942,12324,815,1854,5092,2947,1441,166
15866,Antioquia,El Santuario,7,17397,19208,36605,3495,6414,15841,7360,3175,313
16019,Antioquia,Segovia,8,19657,19722,39379,3785,7348,19201,6942,1935,160
16172,Antioquia,Sonsón,11,18423,18202,36625,2712,5946,16248,7827,3536,345
16325,Antioquia,Sopetrán,7,7766,7746,15512,1099,2256,6514,3789,1648,199
16478,Antioquia,Támesis,3,8154,8047,16201,893,2231,6370,4267,2196,241
16631,Antioquia,Tarazá,12,13847,14148,27995,3063,6311,12557,4481,1438,133
16784,Antioquia,Tarso,2,3110,3121,6231,411,940,2775,1386,638,79
16937,Antioquia,Titiribí,4,5270,5449,10719,568,1396,4137,2941,1480,193
17090,Antioquia,Toledo,1,2669,2374,5043,494,953,2261,874,405,55
17243,Antioquia,Turbo,55,62595,67596,130191,15134,28695,60070,19368,6256,613
17396,Antioquia,Uramita,1,3548,3351,6899,691,1316,2859,1315,626,91
17549,Antioquia,Urrao,8,15377,15499,30876,3036,5861,13095,6020,2584,272
17702,Antioquia,Valdivia,5,7043,7059,14102,1449,2921,6344,2428,859,96
17855,Antioquia,Valparaíso,2,3282,3190,6472,424,866,2542,1751,799,88
18008,Antioquia,Vegachí,2,5962,6077,12039,928,2170,5488,2389,939,123
18161,Antioquia,Venecia,4,5710,6005,11715,546,1490,4732,3326,1463,154
18314,Antioquia,Vigía del Fuerte,4,4660,4763,9423,1423,2385,3835,1230,472,74
18467,Antioquia,Yalí,4,3969,3712,7681,640,1327,3245,1708,665,92
18620,Antioquia,Yarumal,7,20760,21918,42678,3250,7523,19807,8438,3327,326
18773,Antioquia,Yolombó,8,11986,11515,23501,1750,4004,9492,5462,2499,286
18926,Antioquia,Yondó,7,10320,9790,20110,2459,4152,8914,3248,1205,125
19079,Antioquia,Zaragoza,8,12812,12891,25703,3211,5774,11096,4232,1272,110
19232,Atlántico,Barranquilla,933,610680,663570,1274250,97774,196561,594969,265291,106379,12343
19385,Atlántico,Baranoa,26,33454,33596,67050,5526,11311,30527,13735,5310,615
19538,Atlántico,Campo de La Cruz,9,11777,11790,23567,2349,4531,10310,4409,1714,245
19691,Atlántico,Candelaria,6,8741,8454,17195,1756,3326,7661,3153,1162,131
19844,Atlántico,Galapa,44,33611,33410,67021,6375,12536,31988,11946,3755,377
19997,Atlántico,Juan de Acosta,6,11769,10983,22752,1932,3829,10462,4588,1700,235
20150,Atlántico,Luruaco,21,15116,15198,30314,2965,5813,13335,5618,2292,270
20303,Atlántico,Malambo,66,69274,70292,139566,12819,25792,67057,24819,8325,688
20456,Atlántico,Manatí,4,10943,10499,21442,2292,4401,9516,3734,1327,168
20609,Atlántico,Palmar de Varela,9,15558,15480,31038,2684,5292,14181,6280,2323,269
20762,Atlántico,Piojó,0,3707,3382,7089,627,1177,3190,1457,555,83
20915,Atlántico,Polonuevo,8,9876,9669,19545,1629,3540,8894,3753,1535,186
21068,Atlántico,Ponedera,7,13109,12619,25728,2579,4984,11707,4616,1645,190
21221,Atlántico,Puerto Colombia,17,26103,27546,53649,4164,8491,25084,11434,4062,397
21374,Atlántico,Repelón,6,14045,14057,28102,2657,5380,12226,5395,2207,231
21527,Atlántico,Sabanagrande,24,17464,17620,35084,3134,6185,16578,6634,2291,238
21680,Atlántico,Sabanalarga,44,49621,50428,100049,9308,18017,44980,19308,7533,859
21833,Atlántico,Santa Lucía,5,8525,8579,17104,1669,3409,7759,2992,1104,166
21986,Atlántico,Santo Tomás,14,15800,16200,32000,2537,5149,14628,6734,2658,280
22139,Atlántico,Soledad,207,324197,340824,665021,58244,113864,323279,128545,37715,3167
22292,Atlántico,Suan,4,6148,6424,12572,1244,2366,5699,2356,822,81
22445,Atlántico,Tubará,4,9734,9112,18846,1646,3073,8560,3873,1490,200
22598,Atlántico,Usiacurí,4,6734,6410,13144,1064,2148,5971,2710,1114,133
22904,Bolívar,Cartagena de Indias,1008,495069,533667,1028736,86941,167778,489940,202476,72069,8524
23057,Bolívar,Achí,21,13161,11739,24900,2617,4952,10698,4357,1945,310
23210,Bolívar,Altos del Rosario,4,6022,5563,11585,1350,2625,4939,1827,724,116
23363,Bolívar,Arenal,2,4020,3755,7775,800,1639,3309,1380,553,92
23516,Bolívar,Arjona,26,36439,37291,73730,6806,13389,33807,13891,5265,546
23669,Bolívar,Arroyohondo,4,4389,4321,8710,841,1609,3775,1657,674,150
23822,Bolívar,Barranco de Loba,5,7773,7408,15181,1739,3383,6463,2486,965,140
23975,Bolívar,Calamar,9,11650,11447,23097,2212,4409,10072,4315,1769,311
24128,Bolívar,Cantagallo,4,4606,4090,8696,851,1721,3942,1620,475,83
24281,Bolívar,Cicuco,4,7228,7074,14302,1551,3036,6160,2422,1001,128
24434,Bolívar,Córdoba,17,8750,7724,16474,1573,2991,7125,3149,1405,214
24587,Bolívar,Clemencia,4,7815,7638,15453,1644,3047,6992,2699,946,121
24740,Bolívar,El Carmen de Bolívar,39,37452,35143,72595,7039,13536,32139,13336,5699,807
24893,Bolívar,El Guamo,4,4743,4241,8984,719,1474,3748,1883,1007,149
25046,Bolívar,El Peñón,2,4235,3840,8075,862,1740,3267,1410,679,115
25199,Bolívar,Hatillo de Loba,10,6652,6360,13012,1386,2857,5422,2137,1019,181
25352,Bolívar,Magangué,54,70161,69995,140156,13075,26581,62188,25937,10926,1395
25505,Bolívar,Mahates,14,15023,14332,29355,2619,5315,13004,5659,2350,394
25658,Bolívar,Margarita,3,5802,5308,11110,999,2069,4245,2222,1264,308
25811,Bolívar,María La Baja,77,24434,24023,48457,5006,9901,21229,8392,3284,568
25964,Bolívar,Montecristo,4,9682,7922,17604,2235,3704,8091,2652,826,92
26117,Bolívar,Mompós,22,23008,23400,46408,4490,9117,19816,8576,3851,536
26270,Bolívar,Morales,9,12393,10955,23348,2620,4742,10405,4058,1342,172
26423,Bolívar,Norosí,2,5294,4659,9953,1339,2123,4637,1453,347,52
26576,Bolívar,Pinillos,10,12960,11746,24706,2614,5225,10944,3908,1682,323
26729,Bolívar,Regidor,2,3617,3610,7227,896,1550,3262,1077,384,56
26882,Bolívar,Río Viejo,4,5678,5058,10736,1089,2018,4646,2048,811,120
27035,Bolívar,San Cristóbal,2,4296,4273,8569,763,1552,3727,1678,730,117
27188,Bolívar,San Estanislao,9,9572,9556,19128,1667,3434,8155,4059,1613,191
27341,Bolívar,San Fernando,2,6717,6308,13025,1278,2684,5199,2402,1233,227
27494,Bolívar,San Jacinto,11,12541,12011,24552,2091,4356,10407,4958,2385,344
27647,Bolívar,San Jacinto del Cauca,2,5641,5002,10643,1028,2210,4519,1960,789,135
27800,Bolívar,San Juan Nepomuceno,14,19676,18853,38529,3099,6434,16476,8245,3687,574
27953,Bolívar,San Martín de Loba,9,7809,7088,14897,1631,3203,6154,2689,1012,199
28106,Bolívar,San Pablo,6,14547,14194,28741,3138,6247,13368,4444,1396,142
28259,Bolívar,Santa Catalina,4,7439,7509,14948,1407,2794,6639,2877,1064,163
28412,Bolívar,Santa Rosa,11,11118,11291,22409,2108,4214,10463,4130,1356,127
28565,Bolívar,Santa Rosa del Sur,9,17749,16819,34568,3688,7179,17059,5064,1410,159
28718,Bolívar,Simití,4,10065,9078,19143,1927,3784,8683,3440,1178,127
28871,Bolívar,Soplaviento,2,5326,5513,10839,893,1777,4621,2391,1007,148
29024,Bolívar,Talaigua Nuevo,5,6628,6553,13181,1434,2730,5711,2200,930,171
29177,Bolívar,Tiquisio,6,10001,9033,19034,2496,4506,8161,2718,1008,139
29330,Bolívar,Turbaco,37,55972,57468,113440,9513,19291,53186,23027,7618,768
29483,Bolívar,Turbaná,6,8893,8519,17412,1553,2984,7912,3495,1262,200
29636,Bolívar,Villanueva,4,12897,12334,25231,2462,4957,11509,4459,1649,191
29789,Bolívar,Zambrano,4,6582,5740,12322,1165,2295,5314,2400,1031,113
29942,Boyacá,Tunja,80,84665,94598,179263,11996,26261,88598,38208,12769,1351
30095,Boyacá,Almeida,0,943,864,1807,95,204,577,492,358,81
30248,Boyacá,Aquitania,5,7925,7621,15546,1402,2768,6580,3194,1435,162
30401,Boyacá,Arcabuco,2,2989,2989,5978,503,1006,2605,1240,535,87
30554,Boyacá,Belén,3,3596,3936,7532,538,1194,3106,1621,915,155
30707,Boyacá,Berbeo,0,804,778,1582,101,227,532,392,256,74
30860,Boyacá,Betéitiva,0,949,986,1935,132,249,735,444,314,61
31013,Boyacá,Boavita,0,2382,2415,4797,301,741,1684,1127,795,149
31166,Boyacá,Boyacá,2,2650,2468,5118,382,848,1982,1096,677,131
31319,Boyacá,Briceño,0,1168,995,2163,144,345,775,553,296,50
31472,Boyacá,Buenavista,2,2294,2102,4396,278,695,1559,1148,613,101
31625,Boyacá,Busbanzá,0,576,577,1153,126,155,462,217,160,33
31778,Boyacá,Caldas,0,1547,1579,3126,209,485,1129,779,449,75
31931,Boyacá,Campohermoso,0,1567,1494,3061,274,539,1100,681,412,55
32084,Boyacá,Cerinza,0,1793,1913,3706,211,490,1480,887,552,86
32237,Boyacá,Chinavita,0,1572,1622,3194,194,421,1040,842,556,141
32390,Boyacá,Chiquinquirá,27,27671,30264,57935,4107,9606,26556,12465,4656,518
32543,Boyacá,Chiscas,0,1964,1923,3887,263,595,1438,881,603,107
32696,Boyacá,Chita,2,3992,3801,7793,731,1613,2880,1346,1030,191
32849,Boyacá,Chitaraque,2,3041,2824,5865,519,1016,2218,1377,649,84
33002,Boyacá,Chivatá,0,1419,1415,2834,319,535,1113,523,283,61
33155,Boyacá,Ciénega,2,2305,2350,4655,422,811,1724,1040,563,93
33308,Boyacá,Cómbita,5,8273,5007,13280,793,1585,6769,2807,1142,179
33461,Boyacá,Coper,0,1865,1706,3571,274,562,1263,872,528,72
33614,Boyacá,Corrales,0,1305,1240,2545,199,350,1137,550,266,43
33767,Boyacá,Covarachía,0,1406,1296,2702,214,444,947,615,423,59
33920,Boyacá,Cubará,2,5385,5365,10750,1736,2722,4434,1335,451,70
34073,Boyacá,Cucaita,0,1921,1866,3787,349,635,1673,740,356,34
34226,Boyacá,Cuítiva,0,879,931,1810,168,327,651,395,231,38
34379,Boyacá,Chíquiza,2,2433,2311,4744,417,837,1896,1014,505,73
34532,Boyacá,Chivor,0,1371,1155,2526,172,392,939,609,355,59
34685,Boyacá,Duitama,39,60331,66339,126670,8160,18397,57959,29687,11010,1418
34838,Boyacá,El Cocuy,0,2106,2009,4115,351,741,1599,915,463,46
34991,Boyacá,El Espino,0,1563,1491,3054,202,416,1229,685,438,84
35144,Boyacá,Firavitoba,2,3317,3485,6802,492,971,2602,1605,899,231
35297,Boyacá,Floresta,0,1526,1705,3231,201,442,1190,747,565,86
35450,Boyacá,Gachantivá,0,1459,1319,2778,230,457,1048,590,388,65
35603,Boyacá,Gámeza,2,2481,2370,4851,485,863,1911,987,507,96
35756,Boyacá,Garagoa,16,8723,9599,18322,1260,2582,6814,4507,2659,484
35909,Boyacá,Guacamayas,0,901,933,1834,150,294,646,388,294,62
36062,Boyacá,Guateque,3,5176,5728,10904,620,1448,4085,2884,1590,274
36215,Boyacá,Guayatá,0,1694,1697,3391,158,423,959,934,757,160
36368,Boyacá,Güicán de La Sierra,0,2173,2128,4301,475,842,1721,757,466,40
36521,Boyacá,Iza,0,992,1003,1995,175,305,825,448,202,40
36674,Boyacá,Jenesano,2,3608,3730,7338,593,1227,2683,1692,993,148
36827,Boyacá,Jericó,0,2015,1874,3889,355,657,1568,752,496,61
36980,Boyacá,Labranzagrande,0,1888,1605,3493,276,441,1367,860,480,69
37133,Boyacá,La Capilla,0,1368,1323,2691,171,378,820,700,504,118
37286,Boyacá,La Victoria,0,575,542,1117,68,147,452,281,149,20
37439,Boyacá,La Uvita,3,1391,1339,2730,192,368,987,617,463,100
37592,Boyacá,Villa de Leyva,6,8305,8668,16973,1290,2511,7706,3573,1648,239
37745,Boyacá,Macanal,0,2571,2501,5072,336,714,1734,1264,845,179
37898,Boyacá,Maripí,2,3144,2539,5683,394,952,2173,1386,676,100
38051,Boyacá,Miraflores,5,4522,4493,9015,576,1304,3543,2207,1153,227
38204,Boyacá,Mongua,0,2231,2388,4619,401,806,1829,990,524,69
38357,Boyacá,Monguí,0,2021,2271,4292,356,748,1640,992,486,70
38510,Boyacá,Moniquirá,9,11416,11620,23036,1584,3443,9022,5560,3014,404
38663,Boyacá,Motavita,2,2805,2898,5703,582,1085,2467,1045,468,54
38816,Boyacá,Muzo,3,4532,3862,8394,600,1358,3669,1909,775,80
38969,Boyacá,Nobsa,5,7902,8544,16446,1245,2527,7292,3687,1447,243
39122,Boyacá,Nuevo Colón,2,2685,2532,5217,388,839,2016,1216,659,97
39275,Boyacá,Oicatá,0,1468,1422,2890,225,475,1154,644,325,67
39428,Boyacá,Otanche,5,4105,3899,8004,645,1433,3321,1797,708,95
39581,Boyacá,Pachavita,0,1260,1181,2441,127,318,748,592,529,127
39734,Boyacá,Páez,0,1722,1522,3244,280,511,1303,728,372,50
39887,Boyacá,Paipa,17,16724,17955,34679,2423,5342,14995,7927,3477,498
40040,Boyacá,Pajarito,0,1253,1161,2414,215,393,1026,511,236,33
40193,Boyacá,Panqueba,0,829,868,1697,141,268,641,356,251,40
40346,Boyacá,Pauna,2,3751,3461,7212,396,1133,2745,1771,977,188
40499,Boyacá,Paya,0,1399,1236,2635,270,539,1202,416,187,21
40652,Boyacá,Paz de Río,0,2060,2138,4198,296,619,1653,987,564,79
40805,Boyacá,Pesca,2,3420,3310,6730,579,1201,2534,1440,837,137
40958,Boyacá,Pisba,0,950,843,1793,187,346,789,304,145,22
41111,Boyacá,Puerto Boyacá,12,23924,24347,48271,4221,8329,21734,10260,3299,416
41264,Boyacá,Quípama,0,2694,2288,4982,287,770,1891,1334,639,61
41417,Boyacá,Ramiriquí,5,4991,5085,10076,761,1730,4259,2078,1073,170
41570,Boyacá,Ráquira,2,4240,3788,8028,631,1286,3511,1695,738,165
41723,Boyacá,Rondón,0,1200,1173,2373,166,395,790,575,370,77
41876,Boyacá,Saboyá,5,6772,7077,13849,1149,2419,5376,3083,1573,244
42029,Boyacá,Sáchica,0,2903,2774,5677,553,995,2671,1007,400,51
42182,Boyacá,Samacá,8,9446,9372,18818,1872,3477,8703,3364,1202,192
42335,Boyacá,San Eduardo,0,860,800,1660,107,217,633,385,264,54
42488,Boyacá,San José de Pare,2,2610,2389,4999,372,724,1717,1344,731,109
42641,Boyacá,San Luis de Gaceno,0,2796,2677,5473,391,868,2153,1262,710,89
42794,Boyacá,San Mateo,0,1550,1581,3131,246,474,1047,683,575,106
42947,Boyacá,San Miguel de Sema,0,1514,1497,3011,251,537,1094,642,395,92
43100,Boyacá,San Pablo de Borbur,2,3646,3070,6716,525,1195,2612,1612,685,85
43253,Boyacá,Santana,2,3985,3725,7710,596,1224,3121,1851,790,126
43406,Boyacá,Santa María,0,1815,1683,3498,242,537,1333,892,419,75
43559,Boyacá,Santa Rosa de Viterbo,5,6960,6365,13325,766,1787,6044,3052,1474,197
43712,Boyacá,Santa Sofía,0,1632,1580,3212,284,506,1145,688,471,118
43865,Boyacá,Sativanorte,0,1091,1062,2153,129,299,716,547,380,82
44018,Boyacá,Sativasur,0,511,594,1105,86,159,436,232,153,39
44171,Boyacá,Siachoque,2,3493,3281,6774,735,1342,2630,1310,632,123
44324,Boyacá,Soatá,5,4197,4635,8832,543,1238,3377,2184,1242,243
44477,Boyacá,Socotá,2,3809,3402,7211,725,1316,2845,1344,852,127
44630,Boyacá,Socha,5,4021,4065,8086,705,1373,3437,1598,830,138
44783,Boyacá,Sogamoso,38,62453,68652,131105,8699,18747,59403,30453,12310,1455
44936,Boyacá,Somondoco,0,1409,1471,2880,127,319,843,827,637,127
45089,Boyacá,Sora,0,1589,1488,3077,285,549,1295,596,322,30
45242,Boyacá,Sotaquirá,2,4253,4052,8305,775,1466,3267,1741,921,133
45395,Boyacá,Soracá,2,3017,3051,6068,554,1188,2526,1150,557,91
45548,Boyacá,Susacón,0,1399,1305,2704,169,397,947,651,435,105
45701,Boyacá,Sutamarchán,2,3127,3101,6228,461,995,2589,1352,699,130
45854,Boyacá,Sutatenza,0,2060,2162,4222,241,568,1417,1032,779,185
46007,Boyacá,Tasco,2,2916,2876,5792,462,993,2279,1252,674,130
46160,Boyacá,Tenza,0,1881,1940,3821,195,484,1210,1078,706,148
46313,Boyacá,Tibaná,2,4493,4626,9119,708,1443,3118,2182,1409,257
46466,Boyacá,Tibasosa,8,6609,6787,13396,994,1990,5753,3031,1328,292
46619,Boyacá,Tinjacá,0,1668,1683,3351,277,504,1261,747,458,104
46772,Boyacá,Tipacoque,0,1677,1613,3290,240,519,1283,741,440,67
46925,Boyacá,Toca,5,4505,4388,8893,874,1632,3651,1755,828,148
47078,Boyacá,Togüí,2,2238,2097,4335,388,811,1549,1013,481,91
47231,Boyacá,Tópaga,0,1780,1917,3697,337,630,1557,745,353,75
47384,Boyacá,Tota,2,2626,2607,5233,537,981,2063,1037,528,85
47537,Boyacá,Tununguá,0,858,718,1576,161,258,615,314,191,37
47690,Boyacá,Turmequé,2,3048,3108,6156,425,972,2138,1490,973,156
47843,Boyacá,Tuta,2,4120,4341,8461,739,1447,3393,1731,962,187
47996,Boyacá,Tutazá,0,984,1055,2039,192,329,802,453,224,39
48149,Boyacá,Úmbita,2,3889,3663,7552,588,1277,2740,1756,1017,172
48302,Boyacá,Ventaquemada,59,7991,8102,16093,1455,2877,6805,3112,1530,255
48455,Boyacá,Viracachá,0,1450,1359,2809,175,460,1011,685,422,56
48608,Boyacá,Zetaquira,2,2342,2283,4625,329,748,1696,1066,653,131
48761,Caldas,Manizales,201,210254,235906,446160,23587,50227,198767,113931,53426,6021
48914,Caldas,Aguadas,13,11486,11562,23048,1679,3293,9207,5822,2729,305
49067,Caldas,Anserma,17,18339,18352,36691,2398,5062,14880,9357,4456,521
49220,Caldas,Aranzazu,6,4971,5585,10556,784,1589,3920,2674,1418,165
49373,Caldas,Belalcázar,6,5402,5248,10650,982,1743,4168,2430,1184,137
49526,Caldas,Chinchiná,16,25061,27206,52267,3125,6852,22567,13062,5980,665
49679,Caldas,Filadelfia,6,5724,5676,11400,751,1651,4109,3159,1559,165
49832,Caldas,La Dorada,23,35874,38132,74006,5563,11237,32299,16900,7289,695
49985,Caldas,La Merced,2,2989,2893,5882,363,784,2178,1659,818,78
50138,Caldas,Manzanares,38,8965,8829,17794,1346,2654,6952,4431,2133,240
50291,Caldas,Marmato,2,4666,4501,9167,915,1572,4070,1865,665,78
50444,Caldas,Marquetalia,6,6792,6698,13490,1094,2170,5132,3309,1602,177
50597,Caldas,Marulanda,0,1342,1202,2544,230,376,983,659,269,27
50750,Caldas,Neira,11,10575,10539,21114,1517,3071,8423,5188,2642,262
50903,Caldas,Norcasia,3,3049,3079,6128,524,1076,2651,1263,551,60
51056,Caldas,Pácora,6,7724,7600,15324,930,1931,5795,4325,2060,277
51209,Caldas,Palestina,6,7923,7758,15681,1205,2283,6559,3814,1620,194
